Series Name,Source File(s),Category
ARI treatment (% of children under 5 taken to a health provider),WDI,Social_Indicators
"Access to clean fuels and technologies for cooking, rural (% of rural population)",WDI,Social_Indicators
"Access to clean fuels and technologies for cooking, urban (% of urban population)",WDI,Social_Indicators
"Access to electricity, rural (% of rural population)",WDI,Social_Indicators
"Access to electricity, urban (% of urban population)",WDI,Social_Indicators
Adequacy of social insurance programs (% of total welfare of beneficiary households),WDI,Social_Indicators
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),WDI,Social_Indicators
Adequacy of social safety net programs (% of total welfare of beneficiary households),WDI,Social_Indicators
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),WDI,Social_Indicators
"Adjusted net enrollment rate, primary (% of primary school age children)",WDI,Social_Indicators
"Adjusted net enrollment rate, primary, female (% of primary school age children)",WDI,Social_Indicators
"Adjusted net enrollment rate, primary, male (% of primary school age children)",WDI,Social_Indicators
"Adolescent fertility rate (births per 1,000 women ages 15-19)",WDI,Social_Indicators
Adolescents out of school (% of lower secondary school age),WDI,Social_Indicators
"Adolescents out of school, female (% of female lower secondary school age)",WDI,Social_Indicators
"Adolescents out of school, male (% of male lower secondary school age)",WDI,Social_Indicators
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,WDI,Social_Indicators
Adults (ages 15-49) newly infected with HIV,WDI,Social_Indicators
Antiretroviral therapy coverage (% of people living with HIV),WDI,Social_Indicators
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),WDI,Social_Indicators
Armed forces personnel (% of total labor force),WDI,Social_Indicators
"Armed forces personnel, total",WDI,Social_Indicators
Asylum-seekers by country or territory of asylum,WDI,Social_Indicators
Asylum-seekers by country or territory of origin,WDI,Social_Indicators
"Average working hours of children, study and work, ages 7-14 (hours per week)",WDI,Social_Indicators
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",WDI,Social_Indicators
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",WDI,Social_Indicators
"Average working hours of children, working only, ages 7-14 (hours per week)",WDI,Social_Indicators
"Average working hours of children, working only, female, ages 7-14 (hours per week)",WDI,Social_Indicators
"Average working hours of children, working only, male, ages 7-14 (hours per week)",WDI,Social_Indicators
B-READY: Labor Pillar 1: Quality of Labor Regulations,WDI,Social_Indicators
Battle-related deaths (number of people),WDI,Social_Indicators
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),WDI,Social_Indicators
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),WDI,Social_Indicators
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),WDI,Social_Indicators
"Birth rate, crude (per 1,000 people)",WDI,Social_Indicators
Births attended by skilled health staff (% of total),WDI,Social_Indicators
Bribery incidence (% of firms experiencing at least one bribe payment request),WDI,Social_Indicators
CPIA building human resources rating (1=low to 6=high),WDI,Social_Indicators
CPIA gender equality rating (1=low to 6=high),WDI,Social_Indicators
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),WDI,Social_Indicators
CPIA public sector management and institutions cluster average (1=low to 6=high),WDI,Social_Indicators
CPIA social protection rating (1=low to 6=high),WDI,Social_Indicators
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",WDI,Social_Indicators
"Cause of death, by injury (% of total)",WDI,Social_Indicators
"Cause of death, by non-communicable diseases (% of total)",WDI,Social_Indicators
"Charges for the use of intellectual property, payments (BoP, current US$)",WDI,Social_Indicators
Child employment in agriculture (% of economically active children ages 7-14),WDI,Social_Indicators
"Child employment in agriculture, female (% of female economically active children ages 7-14)",WDI,Social_Indicators
"Child employment in agriculture, male (% of male economically active children ages 7-14)",WDI,Social_Indicators
Child employment in manufacturing (% of economically active children ages 7-14),WDI,Social_Indicators
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",WDI,Social_Indicators
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",WDI,Social_Indicators
Child employment in services (% of economically active children ages 7-14),WDI,Social_Indicators
"Child employment in services, female (% of female economically active children ages 7-14)",WDI,Social_Indicators
"Child employment in services, male (% of male economically active children ages 7-14)",WDI,Social_Indicators
Children (0-14) living with HIV,WDI,Social_Indicators
Children (ages 0-14) newly infected with HIV,WDI,Social_Indicators
"Children in employment, female (% of female children ages 7-14)",WDI,Social_Indicators
"Children in employment, male (% of male children ages 7-14)",WDI,Social_Indicators
"Children in employment, self-employed (% of children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, study and work (% of children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, total (% of children ages 7-14)",WDI,Social_Indicators
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, wage workers (% of children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, work only (% of children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, work only, female (% of female children in employment, ages 7-14)",WDI,Social_Indicators
"Children in employment, work only, male (% of male children in employment, ages 7-14)",WDI,Social_Indicators
Children out of school (% of primary school age),WDI,Social_Indicators
"Children out of school, female (% of female primary school age)",WDI,Social_Indicators
"Children out of school, male (% of male primary school age)",WDI,Social_Indicators
"Children out of school, primary",WDI,Social_Indicators
"Children out of school, primary, female",WDI,Social_Indicators
"Children out of school, primary, male",WDI,Social_Indicators
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),WDI,Social_Indicators
Classification of status of employment,SPI,Social_Indicators
"Community health workers (per 1,000 people)",WDI,Social_Indicators
"Completeness of birth registration, female (%)",WDI,Social_Indicators
"Completeness of birth registration, male (%)",WDI,Social_Indicators
"Completeness of birth registration, rural (%)",WDI,Social_Indicators
"Completeness of birth registration, urban (%)",WDI,Social_Indicators
"Condom use, population ages 15-24, female (% of females ages 15-24)",WDI,Social_Indicators
"Condom use, population ages 15-24, male (% of males ages 15-24)",WDI,Social_Indicators
