Series Name,Source File(s),Category
Average precipitation in depth (mm per year),WDI,Uncategorized
B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,WDI,Uncategorized
B-READY: Dispute Resolution Pillar 3:  Ease of Resolving a Commercial Dispute,WDI,Uncategorized
B-READY: Pillar 1: Regulatory Framework,WDI,Uncategorized
CPI base year,SPI,Uncategorized
CPIA property rights and rule-based governance rating (1=low to 6=high),WDI,Uncategorized
CPIA structural policies cluster average (1=low to 6=high),WDI,Uncategorized
CRVS (WDI),SPI,Uncategorized
Changes in inventories (constant LCU),WDI,Uncategorized
Changes in inventories (current LCU),WDI,Uncategorized
Changes in inventories (current US$),WDI,Uncategorized
"Charges for the use of intellectual property, receipts (BoP, current US$)",WDI,Uncategorized
Compensation of employees (current LCU),WDI,Uncategorized
Container port traffic (TEU: 20 foot equivalent units),WDI,Uncategorized
Control of Corruption: Estimate,WDI,Uncategorized
Control of Corruption: Number of Sources,WDI,Uncategorized
Control of Corruption: Percentile Rank,WDI,Uncategorized
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",WDI,Uncategorized
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",WDI,Uncategorized
Control of Corruption: Standard Error,WDI,Uncategorized
DEC alternative conversion factor (LCU per US$),WDI,Uncategorized
Electric power transmission and distribution losses (% of output),WDI,Uncategorized
Firms competing against unregistered firms (% of firms),WDI,Uncategorized
Firms experiencing electrical outages (% of firms),WDI,Uncategorized
Firms experiencing losses due to theft and vandalism (% of firms),WDI,Uncategorized
Firms offering formal training (% of firms),WDI,Uncategorized
Firms that spend on R&D (% of firms),WDI,Uncategorized
Fixed broadband subscriptions,WDI,Uncategorized
Fixed telephone subscriptions,WDI,Uncategorized
GOAL 16: Peace and Justice Strong Institutions (5 year moving average),SPI,Uncategorized
GOAL 17: Partnerships to achieve the Goal (5 year moving average),SPI,Uncategorized
GOAL 2: Zero Hunger (5 year moving average),SPI,Uncategorized
Geospatial data available at 1st Admin Level,SPI,Uncategorized
"IFC, private nonguaranteed (NFL, US$)",WDI,Uncategorized
"Industrial design applications, nonresident, by count",WDI,Uncategorized
