Series Name,Source File(s)
ARI treatment (% of children under 5 taken to a health provider),WDI
Access to clean fuels and technologies for cooking (% of population),WDI
"Access to clean fuels and technologies for cooking, rural (% of rural population)",WDI
"Access to clean fuels and technologies for cooking, urban (% of urban population)",WDI
Access to electricity (% of population),WDI
"Access to electricity, rural (% of rural population)",WDI
"Access to electricity, urban (% of urban population)",WDI
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),WDI
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",WDI
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",WDI
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",WDI
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",WDI
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",WDI
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",WDI
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",WDI
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",WDI
Adequacy of social insurance programs (% of total welfare of beneficiary households),WDI
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),WDI
Adequacy of social safety net programs (% of total welfare of beneficiary households),WDI
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),WDI
"Adjusted net enrollment rate, primary (% of primary school age children)",WDI
"Adjusted net enrollment rate, primary, female (% of primary school age children)",WDI
"Adjusted net enrollment rate, primary, male (% of primary school age children)",WDI
Adjusted net national income (annual % growth),WDI
Adjusted net national income (constant 2015 US$),WDI
Adjusted net national income (current US$),WDI
Adjusted net national income per capita (annual % growth),WDI
Adjusted net national income per capita (constant 2015 US$),WDI
Adjusted net national income per capita (current US$),WDI
"Adjusted net savings, excluding particulate emission damage (% of GNI)",WDI
"Adjusted net savings, excluding particulate emission damage (current US$)",WDI
"Adjusted net savings, including particulate emission damage (% of GNI)",WDI
"Adjusted net savings, including particulate emission damage (current US$)",WDI
Adjusted savings: carbon dioxide damage (% of GNI),WDI
Adjusted savings: carbon dioxide damage (current US$),WDI
Adjusted savings: consumption of fixed capital (% of GNI),WDI
Adjusted savings: consumption of fixed capital (current US$),WDI
Adjusted savings: education expenditure (% of GNI),WDI
Adjusted savings: education expenditure (current US$),WDI
Adjusted savings: energy depletion (% of GNI),WDI
Adjusted savings: energy depletion (current US$),WDI
Adjusted savings: gross savings (% of GNI),WDI
Adjusted savings: mineral depletion (% of GNI),WDI
Adjusted savings: mineral depletion (current US$),WDI
Adjusted savings: natural resources depletion (% of GNI),WDI
Adjusted savings: net forest depletion (% of GNI),WDI
Adjusted savings: net forest depletion (current US$),WDI
Adjusted savings: net national savings (% of GNI),WDI
Adjusted savings: net national savings (current US$),WDI
Adjusted savings: particulate emission damage (% of GNI),WDI
Adjusted savings: particulate emission damage (current US$),WDI
"Adolescent fertility rate (births per 1,000 women ages 15-19)",WDI
Adolescents out of school (% of lower secondary school age),WDI
"Adolescents out of school, female (% of female lower secondary school age)",WDI
"Adolescents out of school, male (% of male lower secondary school age)",WDI
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,WDI
Adults (ages 15-49) newly infected with HIV,WDI
Age dependency ratio (% of working-age population),WDI
"Age dependency ratio, old (% of working-age population)",WDI
"Age dependency ratio, young (% of working-age population)",WDI
Agricultural irrigated land (% of total agricultural land),WDI
Agricultural land (% of land area),WDI
Agricultural land (sq. km),WDI
Agricultural raw materials exports (% of merchandise exports),WDI
Agricultural raw materials imports (% of merchandise imports),WDI
Agriculture census (Availability score over 20 years),SPI
Agriculture survey (Availability score over 10 years),SPI
"Agriculture, forestry, and fishing, value added (% of GDP)",WDI
"Agriculture, forestry, and fishing, value added (annual % growth)",WDI
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",WDI
"Agriculture, forestry, and fishing, value added (constant LCU)",WDI
"Agriculture, forestry, and fishing, value added (current LCU)",WDI
"Agriculture, forestry, and fishing, value added (current US$)",WDI
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",WDI
"Air transport, freight (million ton-km)",WDI
"Air transport, passengers carried",WDI
"Air transport, registered carrier departures worldwide",WDI
Alternative and nuclear energy (% of total energy use),WDI
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",WDI
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",WDI
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",WDI
"Annual freshwater withdrawals, total (% of internal resources)",WDI
"Annual freshwater withdrawals, total (billion cubic meters)",WDI
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",WDI
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",WDI
Antiretroviral therapy coverage (% of people living with HIV),WDI
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),WDI
Aquaculture production (metric tons),WDI
Arable land (% of land area),WDI
Arable land (hectares per person),WDI
Arable land (hectares),WDI
Armed forces personnel (% of total labor force),WDI
"Armed forces personnel, total",WDI
Arms exports (SIPRI trend indicator values),WDI
Arms imports (SIPRI trend indicator values),WDI
Asylum-seekers by country or territory of asylum,WDI
Asylum-seekers by country or territory of origin,WDI
"Automated teller machines (ATMs) (per 100,000 adults)",WDI
Availability of Comparable Poverty headcount ratio at $2.15 a day (5 year moving average),SPI
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",SPI
Average precipitation in depth (mm per year),WDI
Average time to clear exports through customs (days),WDI
Average transaction cost of sending remittances from a specific country (%),WDI
Average transaction cost of sending remittances to a specific country (%),WDI
"Average working hours of children, study and work, ages 7-14 (hours per week)",WDI
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",WDI
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",WDI
"Average working hours of children, working only, ages 7-14 (hours per week)",WDI
"Average working hours of children, working only, female, ages 7-14 (hours per week)",WDI
"Average working hours of children, working only, male, ages 7-14 (hours per week)",WDI
B-READY: Business Entry Pillar 1: Quality of Regulations for Business Entry,WDI
B-READY: Business Entry Pillar 2: Digital Public Services and Transparency of Information for Business Entry,WDI
B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,WDI
B-READY: Business Entry: Overall Score,WDI
B-READY: Business Insolvency Pillar 1: Quality of Regulations for Judicial Insolvency Proceedings,WDI
B-READY: Business Insolvency Pillar 2: Quality of Institutional and Operational Infrastructure for Judicial Insolvency Proceedings,WDI
B-READY: Business Insolvency Pillar 3: Operational Efficiency of Resolving Judicial Insolvency Proceedings,WDI
B-READY: Business Insolvency: Overall Score,WDI
B-READY: Business Location Pillar 1: Quality of Regulations for Business Location,WDI
B-READY: Business Location Pillar 2: Quality of Public Services and Transparency of Information for Business Location,WDI
B-READY: Business Location Pillar 3: Operational Efficiency of Establishing a Business Location,WDI
B-READY: Business Location: Overall Score,WDI
B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,WDI
B-READY: Dispute Resolution Pillar 2: Public Services for Dispute Resolution,WDI
B-READY: Dispute Resolution Pillar 3:  Ease of Resolving a Commercial Dispute,WDI
B-READY: Dispute Resolution: Overall Score,WDI
B-READY: Financial Services Pillar 1: Quality of Regulations for Financial Services,WDI
B-READY: Financial Services Pillar 2: Accessibility of Information in Credit Infrastructure,WDI
B-READY: Financial Services Pillar 3: Operational Efficiency of Receiving Financial Services,WDI
B-READY: Financial Services: Overall Score,WDI
B-READY: International Trade Pillar 1: Quality of Regulations for International Trade,WDI
B-READY: International Trade Pillar 2: Quality of Public Services for the Facilitation of International Trade,WDI
"B-READY: International Trade Pillar 3: Efficiency of Importing Goods, Exporting Goods, and Engaging in Digital Trade",WDI
B-READY: International Trade: Overall Score,WDI
B-READY: Labor Pillar 1: Quality of Labor Regulations,WDI
B-READY: Labor Pillar 2: Adequacy of Public Services for Labor,WDI
