Country Name,Year,"Total reserves (includes gold, current US$)",Rule of Law: Percentile Rank,"Industrial design applications, resident, by count",GDP growth (annual %),Current account balance (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Value lost due to electrical outages (% of sales for affected firms),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Economic_Resilience
Albania,2021,20.74309492468391,3.707848467080997,3.985185994483083,,,,-1.6187316163154453,2.418926253808607,0
Albania,2021,,,,2.1767233527705465,-1.9997262543151453,1.8977237782280427,,,0
Albania,2022,20.685538545963933,3.801156913334634,8.307141847817686,,,,1.066356411464883,2.2971230533740723,0
Albania,2022,,,,1.5653370219589675,-1.8611689527438973,2.010834481959498,,,0
Albania,2023,20.85887689345368,3.771522152284813,8.307141847817686,,,,-0.5457891038944719,2.2943051609760605,1
Albania,2023,,,,1.363634181455325,-0.8265477144847959,1.9159552556182888,,,0
Argentina,2021,22.39348906503536,3.490445914418748,7.111969693403331,,,,-1.6187316163154453,2.150747960518002,1
Argentina,2021,,,,2.32625952555927,0.3082793392701844,0.3132768655240611,,,0
Argentina,2022,22.49585209177465,3.4946528494063647,8.307141847817686,,,,1.066356411464883,1.9045738549847775,0
Argentina,2022,,,,1.6521737364851217,-0.4435550532026618,0.8736271046217133,,,0
Argentina,2023,21.938051280492395,3.5839033196391994,8.307141847817686,,,,-0.5457891038944719,1.8029429073102765,1
Argentina,2023,,,,-1.0269206528184525,-1.4994853272222957,1.3006310138387775,,,0
Armenia,2021,20.268181178889208,3.820056746037321,4.289566927152206,,,,-1.6187316163154453,2.7122015680306792,0
Armenia,2021,,,,1.7468596657374191,-1.5449960135595109,0.9675322720240764,,,0
Armenia,2022,20.474427600103454,3.78150170427854,8.307141847817686,,,,1.066356411464883,2.56979014179931,0
Armenia,2022,,,,2.510890000548349,-1.1079088398689223,1.6001985817709916,,,0
Armenia,2023,20.362698467828935,3.839306555146268,8.307141847817686,,,,-0.5457891038944719,2.559908507943072,0
Armenia,2023,,,,2.1003289428338765,-1.273080940965731,0.8766933015551358,,,0
Australia,2021,22.710677230925658,4.45349116766892,7.640520806343511,,,,-1.6187316163154453,1.6228859806940557,1
Australia,2021,,,,0.7452492678195967,0.9563196585880762,0.7036370861369822,,,0
Australia,2022,22.69348641278124,4.439309994337839,8.307141847817686,,,,1.066356411464883,1.309702540011765,0
Australia,2022,,,,1.4376871552633712,-1.0903535934508966,1.4186323441628563,,,0
Australia,2023,22.764282924816385,4.449291856944257,8.307141847817686,,,,-0.5457891038944719,1.293628169634735,1
Australia,2023,,,,1.2306058123393704,-0.0916907720982573,0.6338722128269444,,,0
Austria,2021,22.26315786441136,4.50214422758823,5.342065977801414,,,,-2.3216392926406413,1.8530915707870184,0
Austria,2021,,,,1.558891565576451,0.5388967716573081,1.3680184369159378,,,0
Austria,2022,22.241095201809248,4.488213897360355,8.307141847817686,,,,-2.3216392926406413,1.5986322435034337,1
Austria,2022,,,,1.6536754453971134,-0.5932832480719396,1.1046511786763615,,,0
Austria,2023,22.192266053028856,4.502412734531893,8.307141847817686,,,,-2.3216392926406413,1.6510705803066508,1
Austria,2023,,,,-0.680798749740263,0.2815541432951323,-0.5603863402531798,,,0
Bangladesh,2021,22.52113379278392,3.312557550229542,7.016838935549735,,,,-1.6187316163154453,1.6628267012195002,0
Bangladesh,2021,,,,1.9237614599333683,-1.5993059822940958,-0.8843877182423723,,,0
Bangladesh,2022,22.25794653789441,3.335314758575901,8.307141847817686,,,,2.212334328519274,1.516256442747984,0
Bangladesh,2022,,,,1.946403113863043,-1.602695925752407,-1.0596608755755288,,,0
Bangladesh,2023,21.89221929629505,3.467564516626861,8.307141847817686,,,,-0.5457891038944719,1.485855348565564,1
Bangladesh,2023,,,,1.742613094080201,-1.0415995181003357,-1.084875143910187,,,0
Belgium,2021,22.43921155595564,4.402243885440549,8.307141847817686,,,,-1.6187316163154453,1.820314541778724,1
Belgium,2021,,,,1.813109078824533,0.6221737738589481,1.7647561297697671,,,0
Belgium,2022,22.42711702918884,4.408727206739565,8.307141847817686,,,,1.066356411464883,1.706896286261497,0
Belgium,2022,,,,1.4355960832589136,-0.8201360989482344,0.6919585605375536,,,0
Belgium,2023,22.41768989958208,4.408727206739565,8.307141847817686,,,,-0.5457891038944719,1.6994194686826465,1
Belgium,2023,,,,0.2243230853253835,-0.4920439982052386,-0.2415963721806213,,,0
Bosnia and Herzegovina,2021,21.184949399358704,3.674841420689979,3.8959645245885866,,,,-1.6187316163154453,2.675248912397585,0
Bosnia and Herzegovina,2021,,,,1.9858921691815008,-0.967054441361484,1.1713539359604632,,,0
