Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Bank nonperforming loans to total gross loans (%),Bank capital to assets ratio (%),Broad money (% of GDP),Broad money growth (annual %),"Commercial bank branches (per 100,000 adults)","Automated teller machines (ATMs) (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)","Depositors with commercial banks (per 1,000 adults)",Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)",Prediction
0.6364236,-0.006376303,-0.20830601,-0.0360232,-0.13609336,0.029340465,-1.4645779,0.8772629,0.23673329,-0.00018658818,0.7852,0.8742926,0.116584085,0.81032526,0.03855342,59.68008
1.078293,0.19032834,3.4265137,0.69835424,0.4197627,-0.5192718,0.9832969,0.23499604,-0.5400325,0.00093844684,0.032204702,0.02535853,0.26784173,0.46312398,0.031537745,63.920223
1.1305859,0.19069454,3.4758809,1.1570997,3.3880467,-0.3994,1.9668783,0.02148262,0.1860627,0.08163396,0.08450705,0.0064350907,0.28788537,1.8052107,-0.12538426,70.38459
0.5271235,-0.006376303,-0.6054842,-0.10157834,-0.2514861,-0.0037297169,0.617559,0.1302572,0.16548023,-0.0012193946,0.1634212,0.027052052,0.11832942,0.522297,0.07104501,58.499634
-2.12496,-0.006376303,-2.1020684,-0.17817068,-2.2969313,-0.584554,0.7892104,0.02987576,-0.5054593,-0.1567614,-1.5835313,-0.105821334,-0.5515072,0.066498585,-0.18242806,47.633976
0.15785024,-0.015418363,1.8008914,-0.13894868,-0.23604274,0.0031176405,0.5946661,0.2748072,0.34356242,-0.0007618328,0.13844346,0.03056052,0.07428895,0.5144545,0.081718735,60.750137
0.001127981,-0.05027637,2.2531402,-0.13759033,-0.33315,0.065855116,1.3335284,0.17246598,0.04480847,-0.0013152182,0.54593223,-0.30615273,0.049047336,2.0589268,0.9337887,63.757088
0.8972725,0.06207146,2.60778,-0.08278957,-0.30575937,-0.64623046,0.5916875,0.03384747,0.34598732,-0.00205931,0.24156743,0.035882186,0.130987,0.4883067,0.075936094,61.60145
-0.0760204,-0.0146263605,2.9613998,0.55488527,2.5604742,-0.05100094,-2.4160156,-0.0022466485,0.32108843,-0.0009729419,0.18080272,0.01050701,0.0814864,0.67074317,0.014233648,61.92169
0.12245917,-0.09149495,2.0884762,0.78480124,0.80151105,-0.00785855,1.218096,0.25586018,0.4749512,0.007370225,0.05271936,0.043953888,0.53343546,-5.489805,-0.22542772,57.69601
