Series Name,Source File(s),Category
Adjusted net national income (annual % growth),WDI,Economical_Indicators
Adjusted net national income (constant 2015 US$),WDI,Economical_Indicators
Adjusted net national income (current US$),WDI,Economical_Indicators
Adjusted net national income per capita (annual % growth),WDI,Economical_Indicators
Adjusted net national income per capita (constant 2015 US$),WDI,Economical_Indicators
Adjusted net national income per capita (current US$),WDI,Economical_Indicators
"Adjusted net savings, excluding particulate emission damage (% of GNI)",WDI,Economical_Indicators
"Adjusted net savings, including particulate emission damage (% of GNI)",WDI,Economical_Indicators
Adjusted savings: carbon dioxide damage (% of GNI),WDI,Economical_Indicators
Adjusted savings: consumption of fixed capital (% of GNI),WDI,Economical_Indicators
Adjusted savings: education expenditure (% of GNI),WDI,Economical_Indicators
Adjusted savings: education expenditure (current US$),WDI,Economical_Indicators
Adjusted savings: energy depletion (% of GNI),WDI,Economical_Indicators
Adjusted savings: gross savings (% of GNI),WDI,Economical_Indicators
Adjusted savings: mineral depletion (% of GNI),WDI,Economical_Indicators
Adjusted savings: natural resources depletion (% of GNI),WDI,Economical_Indicators
Adjusted savings: net forest depletion (% of GNI),WDI,Economical_Indicators
Adjusted savings: net national savings (% of GNI),WDI,Economical_Indicators
Adjusted savings: net national savings (current US$),WDI,Economical_Indicators
Adjusted savings: particulate emission damage (% of GNI),WDI,Economical_Indicators
Agricultural raw materials exports (% of merchandise exports),WDI,Economical_Indicators
Agricultural raw materials imports (% of merchandise imports),WDI,Economical_Indicators
"Agriculture, forestry, and fishing, value added (% of GDP)",WDI,Economical_Indicators
"Agriculture, forestry, and fishing, value added (annual % growth)",WDI,Economical_Indicators
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",WDI,Economical_Indicators
"Agriculture, forestry, and fishing, value added (constant LCU)",WDI,Economical_Indicators
"Agriculture, forestry, and fishing, value added (current LCU)",WDI,Economical_Indicators
"Agriculture, forestry, and fishing, value added (current US$)",WDI,Economical_Indicators
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",WDI,Economical_Indicators
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",WDI,Economical_Indicators
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",WDI,Economical_Indicators
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",WDI,Economical_Indicators
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",WDI,Economical_Indicators
Aquaculture production (metric tons),WDI,Economical_Indicators
Average time to clear exports through customs (days),WDI,Economical_Indicators
B-READY: Business Entry Pillar 1: Quality of Regulations for Business Entry,WDI,Economical_Indicators
B-READY: Business Entry Pillar 2: Digital Public Services and Transparency of Information for Business Entry,WDI,Economical_Indicators
B-READY: Business Insolvency Pillar 1: Quality of Regulations for Judicial Insolvency Proceedings,WDI,Economical_Indicators
B-READY: Business Location Pillar 1: Quality of Regulations for Business Location,WDI,Economical_Indicators
B-READY: Business Location Pillar 2: Quality of Public Services and Transparency of Information for Business Location,WDI,Economical_Indicators
B-READY: Dispute Resolution Pillar 2: Public Services for Dispute Resolution,WDI,Economical_Indicators
B-READY: International Trade Pillar 1: Quality of Regulations for International Trade,WDI,Economical_Indicators
B-READY: International Trade Pillar 2: Quality of Public Services for the Facilitation of International Trade,WDI,Economical_Indicators
