Series Name,Source File(s),Category
Access to clean fuels and technologies for cooking (% of population),WDI,Environmental_Indicators
Access to electricity (% of population),WDI,Environmental_Indicators
Agricultural irrigated land (% of total agricultural land),WDI,Environmental_Indicators
Agricultural land (% of land area),WDI,Environmental_Indicators
Agricultural land (sq. km),WDI,Environmental_Indicators
"Air transport, freight (million ton-km)",WDI,Environmental_Indicators
"Air transport, passengers carried",WDI,Environmental_Indicators
"Air transport, registered carrier departures worldwide",WDI,Environmental_Indicators
Alternative and nuclear energy (% of total energy use),WDI,Environmental_Indicators
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",WDI,Environmental_Indicators
"Annual freshwater withdrawals, total (% of internal resources)",WDI,Environmental_Indicators
"Annual freshwater withdrawals, total (billion cubic meters)",WDI,Environmental_Indicators
Arable land (% of land area),WDI,Environmental_Indicators
Arable land (hectares per person),WDI,Environmental_Indicators
Arable land (hectares),WDI,Environmental_Indicators
"Bird species, threatened",WDI,Environmental_Indicators
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),WDI,Environmental_Indicators
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),WDI,Environmental_Indicators
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),WDI,Environmental_Indicators
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),WDI,Environmental_Indicators
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),WDI,Environmental_Indicators
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),WDI,Environmental_Indicators
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),WDI,Environmental_Indicators
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),WDI,Environmental_Indicators
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),WDI,Environmental_Indicators
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),WDI,Environmental_Indicators
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),WDI,Environmental_Indicators
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),WDI,Environmental_Indicators
Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),WDI,Environmental_Indicators
