Series Name,Source File(s),Category
CPIA debt policy rating (1=low to 6=high),WDI,Public_Debt_Indicators
CPIA equity of public resource use rating (1=low to 6=high),WDI,Public_Debt_Indicators
CPIA fiscal policy rating (1=low to 6=high),WDI,Public_Debt_Indicators
"Central government debt, total (% of GDP)",WDI,Public_Debt_Indicators
"Central government debt, total (current LCU)",WDI,Public_Debt_Indicators
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",WDI,Public_Debt_Indicators
"Debt service on external debt, total (TDS, current US$)",WDI,Public_Debt_Indicators
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",WDI,Public_Debt_Indicators
"Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, % of GDP",QPSD,Public_Debt_Indicators
"Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Budgetary Central Gov., All maturities, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Financial Public Corp., Short-term, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Nonfinancial Public Corp., All maturities, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"Gross PSD, Nonfinancial Public Corp., Short-term, Debt securities, Nominal Value, US$",QPSD,Public_Debt_Indicators
"IMF repurchases and charges (TDS, current US$)",WDI,Public_Debt_Indicators
Informal payments to public officials (% of firms),WDI,Public_Debt_Indicators
Multilateral debt service (% of public and publicly guaranteed debt service),WDI,Public_Debt_Indicators
"Multilateral debt service (TDS, current US$)",WDI,Public_Debt_Indicators
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",WDI,Public_Debt_Indicators
"Net financial flows, IMF concessional (NFL, current US$)",WDI,Public_Debt_Indicators
"Net financial flows, IMF nonconcessional (NFL, current US$)",WDI,Public_Debt_Indicators
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",WDI,Public_Debt_Indicators
Net official aid received (constant 2021 US$),WDI,Public_Debt_Indicators
Net official aid received (current US$),WDI,Public_Debt_Indicators
"Net official flows from UN agencies, CERF (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, FAO (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, IAEA (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, IFAD (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, ILO (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, SPRP (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNCDF (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNCOVID (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNCTAD (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNDP (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNECE (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNEP (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNFPA (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNHCR (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNICEF (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNIDIR (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNIDO (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNPBF (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNRWA (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNTA (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, UNWTO (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, WFP (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, WHO (current US$)",WDI,Public_Debt_Indicators
"Net official flows from UN agencies, WTO-ITC (current US$)",WDI,Public_Debt_Indicators
"PPG, IBRD (DOD, current US$)",WDI,Public_Debt_Indicators
"PPG, IDA (DOD, current US$)",WDI,Public_Debt_Indicators
Present value of external debt (current US$),WDI,Public_Debt_Indicators
Primary government expenditures as a proportion of original approved budget (%),WDI,Public_Debt_Indicators
Public and publicly guaranteed debt service (% of GNI),WDI,Public_Debt_Indicators
Short-term debt (% of total external debt),WDI,Public_Debt_Indicators
Short-term debt (% of total reserves),WDI,Public_Debt_Indicators
Total reserves (% of total external debt),WDI,Public_Debt_Indicators
