Country Name,Year,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Bank nonperforming loans to total gross loans (%),Bank capital to assets ratio (%),Broad money (% of GDP),Broad money growth (annual %),"Commercial bank branches (per 100,000 adults)","Automated teller machines (ATMs) (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)","Depositors with commercial banks (per 1,000 adults)",Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)",FDI
Albania,2021,,,,,,,,,,,,,,,,
Albania,2021,3.737219043198648,3.267033877868195,3.549693734184749,3.470959849022473,0.9248757353209229,2.163122943428362,4.370181186000488,2.135446311736014,2.7694084399518264,3.517764481045331,4.954398327738106,6.837137267068488,4.071611734794018,3.529075770284782,3.712903298269079,51.05848990314406
Albania,2022,,,,,,,,,,,,,,,,
Albania,2022,3.737219043198648,3.267033877868195,3.4762806711201737,3.399999424335648,1.0423316759784882,2.134785121765909,4.2793942963305565,1.573206950608107,2.817106042993604,4.09435315757557,4.912739446769512,6.865122032269436,3.9210523049160178,3.395447459449998,3.639141274750644,50.38217078634541
Albania,2023,,,,,,,,,,,,,,,,
Albania,2023,4.267436011574152,4.189795067314174,3.434957994200072,3.3528786746093013,1.3964673926673579,2.1731540273887227,4.207339950225541,0.8503609201438797,2.7970153274501746,4.09435315757557,4.9240297684317325,6.953661154341953,3.999266767780342,3.464564877735565,3.67672556872098,54.49450446192802
Argentina,2021,,,,,,,,,,,,,,,,
Argentina,2021,4.206959271814909,4.116149036256817,2.5613474943290835,2.401532136015112,1.1508155727354628,2.5403616424865216,3.3836769119476577,3.8824418903558806,2.53743673723552,4.082229458176873,5.773012423880738,6.662250755262825,2.133099009008191,-0.6206181029764263,1.824397411518274,46.72903018729353
Argentina,2022,,,,,,,,,,,,,,,,
Argentina,2022,4.239748677276883,4.146253214804603,2.5350322343840226,2.3467624940890217,1.4751141086555206,2.6645361118470974,3.4308422860475005,4.402981326058718,2.527701904450187,4.09435315757557,5.830056769104028,6.700943667304337,2.1082903918582776,0.2293513905519297,2.684286719629079,50.74173532173687
Argentina,2023,,,,,,,,,,,,,,,,
Argentina,2023,4.267436011574152,4.189795067314174,2.7102075353723376,2.45479786939133,1.3964673926673579,2.1731540273887227,3.538270690624016,4.975430705148013,2.4947447113197634,4.09435315757557,5.852415252970441,6.721513220587664,3.999266767780342,3.464564877735565,3.67672556872098,54.510345185539
Armenia,2021,,,,,,,,,,,,,,,,
Armenia,2021,3.956645193864558,3.7650200381465737,4.061727539564786,4.0175390783267,1.995401281205672,2.398763250923133,3.939585930605783,2.549415977295537,3.207751123593129,4.143868371666615,5.683105875348143,6.812550953979721,-1.556482602643148,-6.054566470996536,0.2492904237298731,45.790435018222375
Armenia,2022,,,,,,,,,,,,,,,,
