Group Type,Group,Total Points,Imputed Points,Imputation %
Indicator Category,Financial_Indicators,184224,122371,66.42511290602745
Indicator Category,Economical_Indicators,453492,256564,56.57519868046184
Indicator Category,Public_Debt_Indicators,24168,18042,74.65243296921548
Indicator Category,Environmental_Indicators,24168,9599,39.71780867262496
Indicator Category,Social_Indicators,139992,69705,49.79213097891308
Indicator Category,Statistical_Indicators,22572,9713,43.031189083820664
Indicator Category,Uncategorized,26220,11350,43.287566742944314
Year,2021,291612,154347,52.92889181515164
Year,2022,291612,163263,55.98637916135139
Year,2023,291612,179734,61.634637806400285
Country,Albania,11511,6311,54.825818782034574
Country,Argentina,11511,8036,69.81148466684041
Country,Armenia,11511,7165,62.24480931283121
Country,Australia,11511,5061,43.96664060463904
Country,Austria,11511,6480,56.29397967161845
Country,Bangladesh,11511,5062,43.97532794718096
Country,Belgium,11511,7374,64.06046390409173
Country,Bosnia and Herzegovina,11511,6520,56.641473373295106
Country,Brazil,11511,6532,56.74572148379811
Country,Bulgaria,11511,7325,63.634784119537834
Country,Canada,11511,7219,62.71392581009469
Country,Colombia,11511,4929,42.819911389106075
Country,Costa Rica,11511,5176,44.96568499695943
Country,Cote d'Ivoire,11511,7399,64.27764746763965
Country,Croatia,11511,7305,63.461037268699506
