Country Name,Year,CPIA gender equality rating (1=low to 6=high),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Access to electricity, rural (% of rural population)","Access to clean fuels and technologies for cooking, rural (% of rural population)",GOAL 2: Zero Hunger (5 year moving average),Newborns protected against tetanus (%),"School enrollment, primary (% gross)","Life expectancy at birth, total (years)",People using at least basic sanitation services (% of population),Gini index,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Social_Equity_Index
Albania,2021,1.2904492808032562,3.267033877868195,4.530195927798776,4.145024267239839,-0.1054002017288398,4.490690117872608,4.501791855157402,4.275092565552328,4.523389202907223,3.4950523895136545,2.6143204865440173,2.886126718541812,69.2594225747511
Albania,2022,1.2904492808032562,3.267033877868195,4.530195927798776,4.170671886043079,-0.3571300238567617,4.490690117872608,4.494425704921135,4.299076458761572,4.523391470536248,3.492108663266857,2.0640629157319244,2.8612400934348163,67.46099537885472
Albania,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.490690117872608,4.46735923386983,4.3092724929059765,4.430623698940526,3.492163258139891,1.9324389107446345,2.858936242195275,67.13202361694647
Argentina,2021,1.2904492808032562,4.116149036256817,4.530195927798776,4.504702655382836,-0.1054002017288398,4.464572606707027,4.623759578660403,4.237846160254893,4.429455273251683,3.697408328168089,4.264385593157423,2.412567734587572,64.74692477423996
Argentina,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.507678941760774,-0.1054002017288398,4.464572606707027,4.611091377901885,4.261907587140854,4.431790706403246,3.6575637627314497,3.6160065104620966,2.3684835849166603,66.73095716358627
Argentina,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.611091377901885,4.282018832550691,4.430623698940526,3.6575637627314497,3.453173290310966,2.3684835849166603,63.78650486472085
Armenia,2021,1.2904492808032562,3.7650200381465737,4.530195927798776,4.483606477940104,-0.3571300238567617,4.464572606707027,4.46835230140887,4.215694631118868,4.469860302852057,3.289338160893413,3.985185994483083,3.890339606981114,61.68608932684626
Armenia,2022,1.2904492808032562,3.7650200381465737,4.530195927798776,4.485635708336838,-0.3571300238567617,4.464572606707027,4.458940361838919,4.248511674772312,4.470102073903053,3.289338160893413,3.257315579097382,3.8827883640391097,63.5719328694772
Armenia,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.468331201418133,4.282905882619777,4.430623698940526,3.289338160893413,2.913668321769394,3.8827883640391097,64.54406638498445
Australia,2021,1.2904492808032562,4.513604000327513,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.529510159945508,4.353275892322599,4.530195927798776,3.4950523895136545,1.379448141588215,2.886126718541812,71.62002942718753
