Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Agriculture census (Availability score over 20 years),SPI.D4.1.2.AGRI,0.5,0.5,0.5
Afghanistan,AFG,Agriculture survey (Availability score over 10 years),SPI.D4.1.5.AGSVY,0.33,0.67,0.67
Afghanistan,AFG,Availability of Comparable Poverty headcount ratio at $2.15 a day (5 year moving average),SPI.D1.5.POV,0,0,0
Afghanistan,AFG,"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",SPI.D1.5.CHLD.MORT,1,1,1
Afghanistan,AFG,Business process,SPI.D5.2.10.GSBP,0,0,0
Afghanistan,AFG,Business/establishment census (Availability score over 20 years),SPI.D4.1.3.BIZZ,0,0,0
Afghanistan,AFG,Business/establishment survey (Availability score over 10 years),SPI.D4.1.8.BZSVY,0.33,0.33,0.33
Afghanistan,AFG,Central government accounting status,SPI.D5.2.7.CGOV,0.5,0.5,0.5
Afghanistan,AFG,Classification of household consumption,SPI.D5.2.5.HOUS,1,1,1
Afghanistan,AFG,Classification of national industry,SPI.D5.2.3.CNIN,0,0,0
Afghanistan,AFG,Classification of status of employment,SPI.D5.2.6.EMPL,1,1,1
Afghanistan,AFG,Compilation of government finance statistics,SPI.D5.2.8.FINA,0.5,0.5,0.5
Afghanistan,AFG,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1,1,1
Afghanistan,AFG,CPI base year,SPI.D5.2.4.CPIBY,0.5,0.5,0.5
Afghanistan,AFG,CRVS (WDI),SPI.D4.2.3.CRVS,0,0,0
Afghanistan,AFG,Dimension 1.5: Data use by international organizations,SPI.DIM1.5.INDEX,0.8,0.8,0.666
Afghanistan,AFG,Dimension 2.1: Data Releases,SPI.DIM2.1.INDEX,0.5,0.5,0.5
Afghanistan,AFG,Dimension 2.2: Online access,SPI.DIM2.2.INDEX,0.283,0.3,0.3
Afghanistan,AFG,Dimension 2.2: Online access - Download Options Score,SPI.D2.2.Download.options,0.09,0.107,0.107
Afghanistan,AFG,Dimension 2.2: Online access - Machine Readability Score,SPI.D2.2.Machine.readable,0.098,0.279,0.279
Afghanistan,AFG,Dimension 2.2: Online access - Metadata Available Score,SPI.D2.2.Metadata.available,0.41,0.329,0.329
Afghanistan,AFG,Dimension 2.2: Online access - Non-Proprietary format Score,SPI.D2.2.Non.proprietary,0.819,0.786,0.786
Afghanistan,AFG,Dimension 2.2: Online access - Terms of Use Score,SPI.D2.2.Terms.of.use,0,0,0
Afghanistan,AFG,Dimension 2.4: Data services,SPI.DIM2.4.INDEX,1,1,1
Afghanistan,AFG,Dimension 3.1: Social Statistics,SPI.DIM3.1.INDEX,0.789,0.7595,0.7695
Afghanistan,AFG,Dimension 3.2: Economic Statistics,SPI.DIM3.2.INDEX,0.828166666666667,0.7925,0.828166666666667
Afghanistan,AFG,Dimension 3.3: Environmental Statistics,SPI.DIM3.3.INDEX,0.8335,0.7425,0.625
Afghanistan,AFG,Dimension 3.4: Institutional Statistics,SPI.DIM3.4.INDEX,0.606,0.5335,0.6905
Afghanistan,AFG,Dimension 4.1: Censuses and Surveys - Censuses only,SPI.DIM4.1.CEN.INDEX,0.166666666666667,0.166666666666667,0.166666666666667
Afghanistan,AFG,Dimension 4.1: Censuses and Surveys - Surveys only,SPI.DIM4.1.SVY.INDEX,0.598,0.734,0.734
Afghanistan,AFG,Dimension 4.2: Administrative Data,SPI.DIM4.2.INDEX,0,0,0
Afghanistan,AFG,Dimension 4.3: Geospatial Data,SPI.DIM4.3.INDEX,0.148,0.199,0.199
Afghanistan,AFG,Dimension 5.1: Legislation and governance,SPI.DIM5.1.INDEX,..,..,..
Afghanistan,AFG,Dimension 5.2: Standards and Methods,SPI.DIM5.2.INDEX,0.55,0.55,0.55
Afghanistan,AFG,Dimension 5.5: Finance,SPI.DIM5.5.INDEX,..,..,..
Afghanistan,AFG,Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,SPI.D5.5.DIFI,..,..,..
Afghanistan,AFG,Geospatial data available at 1st Admin Level,SPI.D4.3.GEO.first.admin.level,0.148,0.199,0.199
Afghanistan,AFG,GOAL 1: No Poverty (5 year moving average),SPI.D3.1.POV,0.714,0.75,0.6
Afghanistan,AFG,GOAL 10: Reduced Inequality (5 year moving average),SPI.D3.10.NEQL,0.75,0.7,0.75
Afghanistan,AFG,GOAL 11: Sustainable Cities and Communities (5 year moving average),SPI.D3.11.CITY,1,1,1
Afghanistan,AFG,GOAL 12: Responsible Consumption and Production (5 year moving average),SPI.D3.12.CNSP,0.8,0.8,0.8
Afghanistan,AFG,GOAL 13: Climate Action (5 year moving average),SPI.D3.13.CLMT,0.667,0.667,0.5
Afghanistan,AFG,GOAL 15: Life on Land (5 year moving average),SPI.D3.15.LAND,1,0.818,0.75
